,access,account_number,accounting_year,cdp_region,change_in_emissions,city,city_wide_emissions_inventory,country,gases_included,geocoded_column,inventory_boundary,last_update,organization,population,population_year,primary_protocol,primary_protocol_comment,reason_for_change,reporting_authority,total_basic_emissions_gpc,total_basic_emissions_gpc_1,total_scope_1_emissions_metric_tonnes_co2e,total_scope_2_emissions_metric_tonnes_co2e,total_scope_3_emissions,year_reported_to_cdp,coordinates,location,address,addr_list,state,State,Number of Customers,Average Monthly Consumption (kWh),Average Price (cents/kWh),Average Monthly Bill (Dollar and cents),Solar panel pricing (cost per watt $/W),Emissions (lbs/MWh),1,2,3,4,5,6,7,8,9,10,11,12
10,public,3417,2016-01-01 - 2016-12-31,North America,Decreased,New York City,Yes,United States of America,GPC gases,"{'type': 'Point', 'coordinates': [-74.0059, 40.7128]}",Administrative boundary of a local government,2020-05-01T03:57:54.890,New York City,8537673.0,2016,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,Behavioural change,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",51735403,,35850141.0,14262756.0,1622506.0,2018,"[40.7128, -74.0059]","New York City Hall, 260, Broadway, Civic Center, Manhattan, Manhattan Community Board 1, New York County, New York, 10000, United States of America","New York City Hall, 260, Broadway, Civic Center, Manhattan, Manhattan Community Board 1, New York County, New York, 10000, United States of America","['New York City Hall', '260', 'Broadway', 'Civic Center', 'Manhattan', 'Manhattan Community Board 1', 'New York County', 'New York', '10000', 'United States of America']",New York,New York,"7,190,906",604,18.52,111.93,3.41,464,2.9010932445526123,3.9161276817321777,4.567721843719482,5.4146904945373535,5.413010120391846,5.959511756896973,6.168822288513184,5.883983135223389,5.158105850219727,4.060146331787109,3.0551564693450928,2.411591053009033
11,public,59644,,North America,,Culver City,Intending to undertake in future,United States of America,,"{'type': 'Point', 'coordinates': [-118.4, 34.02]}",,2020-05-01T03:57:54.890,"City of Culver City, CA",39395.0,2016,,,,"CDP Cities, ICLEI - Local Governments for Sustainability",,,,,,2018,"[34.02, -118.4]","West Washington Boulevard, Culver City, Los Angeles County, California, 90034-4000, United States of America","West Washington Boulevard, Culver City, Los Angeles County, California, 90034-4000, United States of America","['West Washington Boulevard', 'Culver City', 'Los Angeles County', 'California', '90034-4000', 'United States of America']",California,California,"13,591,152",546,18.84,102.9,3.41,491,3.466339111328125,4.0799360275268555,5.196476459503174,6.323315620422363,7.470468521118164,8.244348526000977,8.14592170715332,7.833217144012451,6.802186489105225,5.630860328674316,4.112983226776123,3.309967517852783
12,public,54119,2017-01-01 - 2017-12-31,North America,Decreased,Palo Alto,Yes,United States of America,"CH4, CO2, HFCs, N20, PFCs, SF6","{'type': 'Point', 'coordinates': [-122.143, 37.4419]}",Administrative boundary of a local government,2020-05-01T03:57:54.890,City of Palo Alto,66649.0,2017,Regional or country specific methodology,Palo Alto’s follows the protocols required by The Climate Registry:  1.  Local Government Operations Protocol (LGOP)2. The Climate Registry’s General Reporting Protocol (GRP) 3. The Climate Registry’s Electric Power Sector Protocol (EPS),Policy change,"CDP Cities, ICLEI - Local Governments for Sustainability",Not Applicable,Not Applicable,173951.0,0.0,437241.0,2018,"[37.4419, -122.143]","668, Coleridge Avenue, Old Palo Alto, Palo Alto, Santa Clara County, California, 94301, United States of America","668, Coleridge Avenue, Old Palo Alto, Palo Alto, Santa Clara County, California, 94301, United States of America","['668', 'Coleridge Avenue', 'Old Palo Alto', 'Palo Alto', 'Santa Clara County', 'California', '94301', 'United States of America']",California,California,"13,591,152",546,18.84,102.9,3.41,491,3.466339111328125,4.0799360275268555,5.196476459503174,6.323315620422363,7.470468521118164,8.244348526000977,8.14592170715332,7.833217144012451,6.802186489105225,5.630860328674316,4.112983226776123,3.309967517852783
13,public,59633,2015-01-01 - 2015-12-31,North America,,"Santa Cruz, CA",Yes,United States of America,GPC gases,"{'type': 'Point', 'coordinates': [-122.031, 36.9741]}",Administrative boundary of a local government,2020-05-01T03:57:54.890,"City of Santa Cruz, CA",64465.0,2016,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,"CDP Cities, ICLEI - Local Governments for Sustainability",,,192380.0,48079.0,1337.0,2018,"[36.9741, -122.031]","598, Chestnut Street, Downtown Residential, Downtown, Santa Cruz, Santa Cruz County, California, 95060, United States of America","598, Chestnut Street, Downtown Residential, Downtown, Santa Cruz, Santa Cruz County, California, 95060, United States of America","['598', 'Chestnut Street', 'Downtown Residential', 'Downtown', 'Santa Cruz', 'Santa Cruz County', 'California', '95060', 'United States of America']",California,California,"13,591,152",546,18.84,102.9,3.41,491,3.466339111328125,4.0799360275268555,5.196476459503174,6.323315620422363,7.470468521118164,8.244348526000977,8.14592170715332,7.833217144012451,6.802186489105225,5.630860328674316,4.112983226776123,3.309967517852783
14,public,59552,2009-01-01 - 2010-01-01,North America,,"Davis, CA",Yes,United States of America,,"{'type': 'Point', 'coordinates': [-121.741, 38.5449]}",Administrative boundary of a local government,2020-05-01T03:57:54.890,"City of Davis, CA",68111.0,2016,,,,"CDP Cities, ICLEI - Local Governments for Sustainability",,,,,,2018,"[38.5449, -121.741]","Union Bank, 3rd Street, Downtown Davis, Davis, Yolo County, California, 95616, United States of America","Union Bank, 3rd Street, Downtown Davis, Davis, Yolo County, California, 95616, United States of America","['Union Bank', '3rd Street', 'Downtown Davis', 'Davis', 'Yolo County', 'California', '95616', 'United States of America']",California,California,"13,591,152",546,18.84,102.9,3.41,491,3.466339111328125,4.0799360275268555,5.196476459503174,6.323315620422363,7.470468521118164,8.244348526000977,8.14592170715332,7.833217144012451,6.802186489105225,5.630860328674316,4.112983226776123,3.309967517852783
15,public,49787,2016-01-01 - 2016-12-31,North America,Decreased,Benicia,Yes,United States of America,GPC gases,"{'type': 'Point', 'coordinates': [-122.159, 38.0494]}",Administrative boundary of a local government,2020-05-01T03:57:54.890,City of Benicia,27780.0,2016,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,Policy change,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",122687.97,125942.49,93726.37,18171.37,14044.75,2018,"[38.0494, -122.159]","Benicia Chamber of Commerce, 601, 1st Street, Benicia, Solano County, California, 94510, United States of America","Benicia Chamber of Commerce, 601, 1st Street, Benicia, Solano County, California, 94510, United States of America","['Benicia Chamber of Commerce', '601', '1st Street', 'Benicia', 'Solano County', 'California', '94510', 'United States of America']",California,California,"13,591,152",546,18.84,102.9,3.41,491,3.466339111328125,4.0799360275268555,5.196476459503174,6.323315620422363,7.470468521118164,8.244348526000977,8.14592170715332,7.833217144012451,6.802186489105225,5.630860328674316,4.112983226776123,3.309967517852783
16,public,35878,2015-01-01 - 2015-12-31,North America,,Sacramento,Yes,United States of America,,"{'type': 'Point', 'coordinates': [-121.494, 38.5816]}",Administrative boundary of a local government,2020-05-01T03:57:54.890,City of Sacramento,495234.0,2016,Other,,,"CDP Cities, ICLEI - Local Governments for Sustainability",Not Applicable,Not Applicable,,,,2018,"[38.5816, -121.494]","Sacramento Historic City Hall, 915, I Street, Land Park, Sacramento, Sacramento County, California, 95814, United States of America","Sacramento Historic City Hall, 915, I Street, Land Park, Sacramento, Sacramento County, California, 95814, United States of America","['Sacramento Historic City Hall', '915', 'I Street', 'Land Park', 'Sacramento', 'Sacramento County', 'California', '95814', 'United States of America']",California,California,"13,591,152",546,18.84,102.9,3.41,491,3.466339111328125,4.0799360275268555,5.196476459503174,6.323315620422363,7.470468521118164,8.244348526000977,8.14592170715332,7.833217144012451,6.802186489105225,5.630860328674316,4.112983226776123,3.309967517852783
17,public,58357,,North America,,West Hollywood,No,United States of America,,"{'type': 'Point', 'coordinates': [-118.362, 34.09]}",,2020-05-01T03:57:54.890,City of West Hollywood,34399.0,2010,,,,"CDP Cities, ICLEI - Local Governments for Sustainability",,,,,,2018,"[34.09, -118.362]","North Fairfax Avenue, West Hollywood, Los Angeles County, California, 90046, United States of America","North Fairfax Avenue, West Hollywood, Los Angeles County, California, 90046, United States of America","['North Fairfax Avenue', 'West Hollywood', 'Los Angeles County', 'California', '90046', 'United States of America']",California,California,"13,591,152",546,18.84,102.9,3.41,491,3.466339111328125,4.0799360275268555,5.196476459503174,6.323315620422363,7.470468521118164,8.244348526000977,8.14592170715332,7.833217144012451,6.802186489105225,5.630860328674316,4.112983226776123,3.309967517852783
18,public,50562,2014-01-01 - 2014-12-31,North America,Decreased,Chula Vista,Yes,United States of America,GPC gases,"{'type': 'Point', 'coordinates': [-117.084, 32.64]}",Administrative boundary of a local government,2020-05-01T03:57:54.890,City of Chula Vista,265070.0,2016,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,Technological change,"CDP Cities, ICLEI - Local Governments for Sustainability",1210869.82,,884432.84,259191.29,67245.69,2018,"[32.64, -117.084]","4th Avenue, Sunny Vista, Chula Vista, San Diego County, California, 91912, United States of America","4th Avenue, Sunny Vista, Chula Vista, San Diego County, California, 91912, United States of America","['4th Avenue', 'Sunny Vista', 'Chula Vista', 'San Diego County', 'California', '91912', 'United States of America']",California,California,"13,591,152",546,18.84,102.9,3.41,491,3.466339111328125,4.0799360275268555,5.196476459503174,6.323315620422363,7.470468521118164,8.244348526000977,8.14592170715332,7.833217144012451,6.802186489105225,5.630860328674316,4.112983226776123,3.309967517852783
19,public,60656,2016-01-01 - 2017-01-01,North America,Decreased,Piedmont,Yes,United States of America,GPC gases,"{'type': 'Point', 'coordinates': [-122.232, 37.8244]}",Administrative boundary of a local government,2020-05-01T03:57:54.890,"City of Piedmont, CA",11378.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,Behavioural change,"CDP Cities, ICLEI - Local Governments for Sustainability",37186,,31807.0,4203.0,1176.0,2018,"[37.8244, -122.232]","Lakeshore, Piedmont, Alameda County, California, 94611, United States of America","Lakeshore, Piedmont, Alameda County, California, 94611, United States of America","['Lakeshore', 'Piedmont', 'Alameda County', 'California', '94611', 'United States of America']",California,California,"13,591,152",546,18.84,102.9,3.41,491,3.466339111328125,4.0799360275268555,5.196476459503174,6.323315620422363,7.470468521118164,8.244348526000977,8.14592170715332,7.833217144012451,6.802186489105225,5.630860328674316,4.112983226776123,3.309967517852783
20,public,64014,2015-01-01 - 2015-12-31,North America,Decreased,Cupertino,Yes,United States of America,GPC gases,"{'type': 'Point', 'coordinates': [-122.032, 37.323]}",Administrative boundary of a local government,2020-05-01T03:57:54.890,City of Cupertino,60777.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,Policy change,"CDP Cities, ICLEI - Local Governments for Sustainability",244943,,154415.0,54382.0,86200.0,2018,"[37.323, -122.032]","Valero, Stevens Creek Boulevard, Monta Vista, Cupertino, Santa Clara County, California, 95014-2261, United States of America","Valero, Stevens Creek Boulevard, Monta Vista, Cupertino, Santa Clara County, California, 95014-2261, United States of America","['Valero', 'Stevens Creek Boulevard', 'Monta Vista', 'Cupertino', 'Santa Clara County', 'California', '95014-2261', 'United States of America']",California,California,"13,591,152",546,18.84,102.9,3.41,491,3.466339111328125,4.0799360275268555,5.196476459503174,6.323315620422363,7.470468521118164,8.244348526000977,8.14592170715332,7.833217144012451,6.802186489105225,5.630860328674316,4.112983226776123,3.309967517852783
21,public,54124,2015-01-01 - 2015-12-31,North America,Decreased,Fremont,Yes,United States of America,GPC gases,"{'type': 'Point', 'coordinates': [-121.989, 37.5483]}",Administrative boundary of a local government,2020-05-01T03:57:54.890,City of Fremont,234962.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,Technological change,"CDP Cities, ICLEI - Local Governments for Sustainability",1438725,1447555,1097979.0,322205.0,18541.0,2018,"[37.5483, -121.989]","Subway, 4055, Mowry Avenue, Centerville District, Fremont, Alameda County, California, 94536, United States of America","Subway, 4055, Mowry Avenue, Centerville District, Fremont, Alameda County, California, 94536, United States of America","['Subway', '4055', 'Mowry Avenue', 'Centerville District', 'Fremont', 'Alameda County', 'California', '94536', 'United States of America']",California,California,"13,591,152",546,18.84,102.9,3.41,491,3.466339111328125,4.0799360275268555,5.196476459503174,6.323315620422363,7.470468521118164,8.244348526000977,8.14592170715332,7.833217144012451,6.802186489105225,5.630860328674316,4.112983226776123,3.309967517852783
22,public,50551,2015-01-01 - 2015-12-31,North America,This is our first year of calculation,Long Beach,Yes,United States of America,GPC gases,"{'type': 'Point', 'coordinates': [-118.194, 33.7701]}",,2020-05-01T03:57:54.890,City of Long Beach,470130.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,"CDP Cities, ICLEI - Local Governments for Sustainability",3090177,3355882,4148034.0,696847.0,442099.0,2018,"[33.7701, -118.194]","West Maple Way, Willowville, Long Beach, Los Angeles County, California, 90802, United States of America","West Maple Way, Willowville, Long Beach, Los Angeles County, California, 90802, United States of America","['West Maple Way', 'Willowville', 'Long Beach', 'Los Angeles County', 'California', '90802', 'United States of America']",California,California,"13,591,152",546,18.84,102.9,3.41,491,3.466339111328125,4.0799360275268555,5.196476459503174,6.323315620422363,7.470468521118164,8.244348526000977,8.14592170715332,7.833217144012451,6.802186489105225,5.630860328674316,4.112983226776123,3.309967517852783
23,public,59653,2016-01-01 - 2016-12-31,North America,Decreased,Manhattan Beach,Yes,United States of America,GPC gases,"{'type': 'Point', 'coordinates': [-118.405, 33.8889]}",Administrative boundary of a local government,2020-05-01T03:57:54.890,"City of Manhattan Beach, CA",35881.0,2014,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,Policy change,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",224717.09,234728.1,175766.69,43428.06,15533.35,2018,"[33.8889, -118.405]","45, Laurel Square, Tree Section, Manhattan Beach, Los Angeles County, California, 90266, United States of America","45, Laurel Square, Tree Section, Manhattan Beach, Los Angeles County, California, 90266, United States of America","['45', 'Laurel Square', 'Tree Section', 'Manhattan Beach', 'Los Angeles County', 'California', '90266', 'United States of America']",California,California,"13,591,152",546,18.84,102.9,3.41,491,3.466339111328125,4.0799360275268555,5.196476459503174,6.323315620422363,7.470468521118164,8.244348526000977,8.14592170715332,7.833217144012451,6.802186489105225,5.630860328674316,4.112983226776123,3.309967517852783
24,public,50560,2015-01-01 - 2015-12-31,North America,Stayed the same,Oakland,Yes,United States of America,GPC gases,"{'type': 'Point', 'coordinates': [-122.271, 37.8044]}",Administrative boundary of a local government,2020-05-01T03:57:54.890,City of Oakland,420000.0,2016,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,Emissions have not changed,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",2462536,0,2032515.0,370834.0,3659181.0,2018,"[37.8044, -122.271]","Central Building, 1400, Broadway, Downtown, Oakland, Alameda County, California, 94612-2202, United States of America","Central Building, 1400, Broadway, Downtown, Oakland, Alameda County, California, 94612-2202, United States of America","['Central Building', '1400', 'Broadway', 'Downtown', 'Oakland', 'Alameda County', 'California', '94612-2202', 'United States of America']",California,California,"13,591,152",546,18.84,102.9,3.41,491,3.466339111328125,4.0799360275268555,5.196476459503174,6.323315620422363,7.470468521118164,8.244348526000977,8.14592170715332,7.833217144012451,6.802186489105225,5.630860328674316,4.112983226776123,3.309967517852783
25,public,54110,2015-01-01 - 2015-12-31,North America,Decreased,Santa Monica,Yes,United States of America,GPC gases,"{'type': 'Point', 'coordinates': [-118.481, 34.0219]}",Administrative boundary of a local government,2020-05-01T03:57:54.890,City of Santa Monica,92478.0,2016,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,Policy change,"CDP Cities, ICLEI - Local Governments for Sustainability",1110480,1110480,862781.0,,,2018,"[34.0219, -118.481]","1522, Colorado Avenue, Ocean Park, Santa Monica, Los Angeles County, California, 90404, United States of America","1522, Colorado Avenue, Ocean Park, Santa Monica, Los Angeles County, California, 90404, United States of America","['1522', 'Colorado Avenue', 'Ocean Park', 'Santa Monica', 'Los Angeles County', 'California', '90404', 'United States of America']",California,California,"13,591,152",546,18.84,102.9,3.41,491,3.466339111328125,4.0799360275268555,5.196476459503174,6.323315620422363,7.470468521118164,8.244348526000977,8.14592170715332,7.833217144012451,6.802186489105225,5.630860328674316,4.112983226776123,3.309967517852783
